session_id;evaluator_id;evaluator_name;image_id;image_filename;image_source_ground_truth;random_order;shown_timestamp;predicted_source;segmentation_mask_file;segmentation_done;precision;recall;f1_score;notes
BLIND001;E1;Expert 1;C007;control_007.png;real;1;;;;;;;;
BLIND001;E1;Expert 1;R024;real_salt_024.png;real;2;;;;;;;;
BLIND001;E1;Expert 1;S017;synthetic_salt_017.png;synthetic;3;;;;;;;;
BLIND001;E1;Expert 1;S016;synthetic_salt_016.png;synthetic;4;;;;;;;;
BLIND001;E1;Expert 1;R012;real_salt_012.png;real;5;;;;;;;;
BLIND001;E1;Expert 1;S021;synthetic_salt_021.png;synthetic;6;;;;;;;;
BLIND001;E1;Expert 1;S003;synthetic_salt_003.png;synthetic;7;;;;;;;;
BLIND001;E1;Expert 1;C009;control_009.png;real;8;;;;;;;;
BLIND001;E1;Expert 1;C005;control_005.png;real;9;;;;;;;;
BLIND001;E1;Expert 1;R029;real_salt_029.png;real;10;;;;;;;;
BLIND001;E1;Expert 1;S033;synthetic_salt_033.png;synthetic;11;;;;;;;;
BLIND001;E1;Expert 1;S022;synthetic_salt_022.png;synthetic;12;;;;;;;;
BLIND001;E1;Expert 1;S013;synthetic_salt_013.png;synthetic;13;;;;;;;;
BLIND001;E1;Expert 1;R010;real_salt_010.png;real;14;;;;;;;;
BLIND001;E1;Expert 1;R033;real_salt_033.png;real;15;;;;;;;;
BLIND001;E1;Expert 1;S007;synthetic_salt_007.png;synthetic;16;;;;;;;;
BLIND001;E1;Expert 1;R026;real_salt_026.png;real;17;;;;;;;;
BLIND001;E1;Expert 1;C001;control_001.png;real;18;;;;;;;;
BLIND001;E1;Expert 1;S027;synthetic_salt_027.png;synthetic;19;;;;;;;;
BLIND001;E1;Expert 1;S030;synthetic_salt_030.png;synthetic;20;;;;;;;;
BLIND001;E1;Expert 1;S012;synthetic_salt_012.png;synthetic;21;;;;;;;;
BLIND001;E1;Expert 1;S035;synthetic_salt_035.png;synthetic;22;;;;;;;;
BLIND001;E1;Expert 1;S011;synthetic_salt_011.png;synthetic;23;;;;;;;;
